kab,year,pop
Kulonprogo,2010,389661
Kulonprogo,2011,394200
Kulonprogo,2012,398672
Kulonprogo,2013,403179
Kulonprogo,2014,407709
Kulonprogo,2015,412198
Kulonprogo,2016,416683
Kulonprogo,2017,421295
Kulonprogo,2018,425758
Kulonprogo,2019,430220
Kulonprogo,2020,434483
Bantul,2010,909539
Bantul,2011,922104
Bantul,2012,934674
Bantul,2013,947072
Bantul,2014,959445
Bantul,2015,971511
Bantul,2016,983527
Bantul,2017,995264
Bantul,2018,1006692
Bantul,2019,1018402
Bantul,2020,1029997
Gunungkidul,2010,677376
Gunungkidul,2011,685003
Gunungkidul,2012,692579
Gunungkidul,2013,700191
Gunungkidul,2014,707794
Gunungkidul,2015,715282
Gunungkidul,2016,722479
Gunungkidul,2017,729364
Gunungkidul,2018,736210
Gunungkidul,2019,742731
Gunungkidul,2020,749274
Sleman,2010,1103534
Sleman,2011,1116184
Sleman,2012,1128943
Sleman,2013,1141733
Sleman,2014,1154501
Sleman,2015,1167481
Sleman,2016,1180479
Sleman,2017,1193512
Sleman,2018,1206714
Sleman,2019,1219640
Sleman,2020,1232598
Yogyakarta,2010,387379
Yogyakarta,2011,392506
Yogyakarta,2012,397594
Yogyakarta,2013,402679
Yogyakarta,2014,407667
Yogyakarta,2015,412704
Yogyakarta,2016,417744
Yogyakarta,2017,422732
Yogyakarta,2018,427498
Yogyakarta,2019,431939
Yogyakarta,2020,435936
